brand,screen,procesor,RAM,Disk,Graphic Card,Operation System,Price(zł)
MICROSOFT,"10.5"", 1920 x 1280px, Ekran dotykowy, 60Hz",Intel Pentium Gold 4425Y,8,128 GB SSD,Intel HD Graphics 615,Windows 10 S (możliwość darmowej aktualizacji do Windows 11),3.299
ACER,"16"", 2560 x 1600px, 165Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,Windows 10 Home,10.799
DELL,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Windows 11 Home,6.199
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),6.289
DELL,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,3.699
ASUS,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel UHD Graphics,Windows 11 Home,3.199
HP,"16.1"", 1920 x 1080px, 144Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Brak,4.299
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 7 5800H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,3.599
ASUS,"16"", 3840 x 2400px, 60Hz",Intel Core i7-11370H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Professional,6.799
DELL,"13.3"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.899
ASUS,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 7 4800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 11 Home,5.499
ACER,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,Windows 11 Home,6.535
MICROSOFT,"13"", 2880 x 1920px, Ekran dotykowy, 60 - 120Hz",Intel Core i7-1185G7,16,256 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,7.699
HP,"16.1"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home,4.999
LENOVO,"16"", 2560 x 1600px, 165Hz",AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 11 Home,5.299
MICROSOFT,"13.5"", 2256 x 1504px, Ekran dotykowy, 60Hz",AMD Ryzen 5 4680U,8,256 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.599
HP,"16.1"", 2560 x 1440px, 165Hz",AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3070,Brak,7.599
DELL,"14"", 1920 x 1080px, 60Hz",Intel Core i3-1115G4,4,256 GB SSD,Intel UHD Graphics,Linux,2.399
HP,"16.1"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,4.799
